Parameter,Number of Balls,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
Varying legendary: 0.02,1,0.12680442769051625,0.12680442769051625,0.8731955723094837
Varying legendary: 0.02,2,0.1327044838640653,0.2477984876905026,0.8672955161359347
Varying legendary: 0.02,3,0.13885664209049042,0.36140374322604785,0.8611433579095096
Varying legendary: 0.02,4,0.14526944589973656,0.4662757741784973,0.8547305541002634
Varying legendary: 0.02,5,0.151951499781526,0.5613648285106985,0.848048500218474
Varying legendary: 0.02,6,0.15891144200830254,0.6459616160123544,0.8410885579916975
Varying legendary: 0.02,7,0.1661579140348246,0.7197235045821364,0.8338420859651754
Varying legendary: 0.02,8,0.17369952623070728,0.782677839394657,0.8263004737692927
Varying legendary: 0.02,9,0.18154481969984548,0.8352011728064822,0.8184551803001545
Varying legendary: 0.02,10,0.18970222394101377,0.8779756594066832,0.8102977760589862
Varying legendary: 0.02,11,0.19818001010758124,0.9119264154598254,0.8018199898924188
Varying legendary: 0.02,12,0.2069862396318276,0.9381458733736543,0.7930137603681724
Varying legendary: 0.02,13,0.21612870799148454,0.9578126862869196,0.7838712920085155
Varying legendary: 0.02,14,0.22561488341362046,0.9721132461372771,0.7743851165863795
Varying legendary: 0.02,15,0.2354518403346465,0.9821732280447828,0.7645481596653535
Varying legendary: 0.02,16,0.24564618746594202,0.9890048430268173,0.754353812534058
Varying legendary: 0.02,17,0.2562039903533274,0.9934729738933201,0.7437960096466726
Varying legendary: 0.02,18,0.26713068836633413,0.9962805591753815,0.7328693116336659
Varying legendary: 0.02,19,0.2784310061109788,0.997971012369623,0.7215689938890212
Varying legendary: 0.02,20,0.29010885932858343,0.998943583621931,0.7098911406714166
Varying legendary: 0.03,1,0.18475102939334365,0.18475102939334365,0.8152489706066564
Varying legendary: 0.03,2,0.19303486376331935,0.34880726889851543,0.8069651362366806
Varying legendary: 0.03,3,0.20164231409194477,0.4911467742167924,0.7983576859080552
Varying legendary: 0.03,4,0.21058134305904008,0.6116444242985886,0.7894186569409599
Varying legendary: 0.03,5,0.2198596236305409,0.7110226677113752,0.7801403763694591
Varying legendary: 0.03,6,0.22948447569714248,0.7907389694812708,0.7705155243028575
Varying legendary: 0.03,7,0.239462797405109,0.8528218835497446,0.760537202594891
Varying legendary: 0.03,8,0.24980099104313558,0.899674371578403,0.7501990089568644
Varying legendary: 0.03,9,0.2605048833913335,0.9338670655574509,0.7394951166086665
Varying legendary: 0.03,10,0.27157964048999816,0.9579446976908916,0.7284203595100018
Varying legendary: 0.03,11,0.28302967684785574,0.9742656634164629,0.7169703231521443
Varying legendary: 0.03,12,0.29485855918301684,0.9848882463758549,0.7051414408169832
Varying legendary: 0.03,13,0.3070689048759381,0.991508768952158,0.6929310951240619
Varying legendary: 0.03,14,0.31966227541328485,0.9954486132134062,0.6803377245867152
Varying legendary: 0.03,15,0.3326390652156159,0.9976804074117083,0.6673609347843841
Varying legendary: 0.03,16,0.34599838637102354,0.9988798888564501,0.6540016136289765
Varying legendary: 0.03,17,0.3597379499418528,0.9994893986783149,0.6402620500581472
Varying legendary: 0.03,18,0.37385394467268007,0.9997811423758879,0.6261460553273199
Varying legendary: 0.03,19,0.3883409141048363,0.9999121626559192,0.6116590858951637
Varying legendary: 0.03,20,0.40319163329543906,0.9999671376922571,0.5968083667045609
Varying berry: 1,1,0.05279363018626315,0.05279363018626315,0.9472063698137368
Varying berry: 1,2,0.05535889291567064,0.10765317880649261,0.9446411070843294
Varying berry: 1,3,0.05804494203530386,0.16422274612482013,0.9419550579646961
Varying berry: 1,4,0.06085707395517803,0.22209463559577935,0.939142926044822
Varying berry: 1,5,0.06380077737576295,0.28081374127719716,0.936199222624237
Varying berry: 1,6,0.066881736021705,0.3398841816134953,0.933118263978295
Varying berry: 1,7,0.07010583089066358,0.39877826662651894,0.9298941691093364
Varying berry: 1,8,0.07347914194176008,0.4569477647282745,0.9265208580582399
Varying berry: 1,9,0.0770079491409188,0.5138372872563239,0.9229920508590812
Varying berry: 1,10,0.08069873277269579,0.5688994392275781,0.9193012672273042
Varying berry: 1,11,0.08455817292005374,0.6216112037203156,0.9154418270799463
Varying berry: 1,12,0.088593148004944,0.6714908491525082,0.911406851995056
Varying berry: 1,13,0.09281073227352399,0.7181144919817608,0.907189267726476
Varying berry: 1,14,0.09721819210039195,0.76113133333178,0.902781807899608
Varying berry: 1,15,0.10182298097638776,0.8002765388879831,0.8981770190236122
Varying berry: 1,16,0.1066327330343515,0.8353807671079514,0.8933672669656485
Varying berry: 1,17,0.11165525495679995,0.8663754856162599,0.8883447450432
Varying berry: 1,18,0.11689851609886515,0.8932934542353292,0.8831014839011349
Varying berry: 1,19,0.12237063664913661,0.9162640870350426,0.8776293633508634
Varying berry: 1,20,0.12807987364038576,0.9355038114774199,0.8719201263596142
Varying berry: 1.5,1,0.0781358739371727,0.0781358739371727,0.9218641260628273
Varying berry: 1.5,2,0.08187828199338565,0.15705251092458294,0.9181217180066144
Varying berry: 1.5,3,0.08579146040130436,0.2359252973049636,0.9142085395986956
Varying berry: 1.5,4,0.08988234868579503,0.3138956867455599,0.910117651314205
Varying berry: 1.5,5,0.09415808118134295,0.3900951719123913,0.905841918818657
Varying berry: 1.5,6,0.09862598294264902,0.463672322149456,0.901374017057351
Varying berry: 1.5,7,0.10329356429469916,0.5338217501798879,0.8967064357053008
Varying berry: 1.5,8,0.10816851387348636,0.5998135234696121,0.8918314861265136
Varying berry: 1.5,9,0.11325868999806477,0.661021253021504,0.8867413100019352
Varying berry: 1.5,10,0.11857211020396208,0.7169469221411344,0.8814278897960379
Varying berry: 1.5,11,0.1241169387572727,0.7672405065738908,0.8758830612427273
Varying berry: 1.5,12,0.1299014719581304,0.8117126221087794,0.8700985280418696
Varying berry: 1.5,13,0.13593412103188784,0.8503388343385475,0.8640658789681122
Varying berry: 1.5,14,0.14222339239639015,0.8832548686619639,0.8577766076036099
Varying berry: 1.5,15,0.14877786508446145,0.9107427246856147,0.8512221349155386
Varying berry: 1.5,16,0.15560616509238623,0.9332085517589985,0.8443938349076138
Varying berry: 1.5,17,0.16271693641807738,0.9511539769721024,0.8372830635819226
Varying berry: 1.5,18,0.17011880854713624,0.9651432740328665,0.8298811914528638
Varying berry: 1.5,19,0.17782036014154146,0.9757692063233844,0.8221796398584585
Varying berry: 1.5,20,0.18583007868471957,0.9836204835933968,0.8141699213152804
Varying berry: 1.8,1,0.09301459633327358,0.09301459633327358,0.9069854036667264
Varying berry: 1.8,2,0.09743120819723194,0.18536957606369153,0.9025687918027681
Varying berry: 1.8,3,0.10204550571505644,0.27595929039337275,0.8979544942849436
Varying berry: 1.8,4,0.10686513136575782,0.36369083369579536,0.8931348686342422
Varying berry: 1.8,5,0.11189789975297604,0.44752264022835775,0.888102100247024
Varying berry: 1.8,6,0.11715178763931,0.5265040683700869,0.88284821236069
Varying berry: 1.8,7,0.12263492200991,0.5998135234696124,0.87736507799009
Varying berry: 1.8,8,0.12835556597680786,0.6667924063949191,0.8716444340231921
Varying berry: 1.8,9,0.13432210232501074,0.7269721406806352,0.8656778976749893
Varying berry: 1.8,10,0.1405430144913038,0.7800917826590358,0.8594569855086962
Varying berry: 1.8,11,0.1470268647572427,0.8261042836377139,0.8529731352427573
Varying berry: 1.8,12,0.15378226942920414,0.8651703370254433,0.8462177305707959
Varying berry: 1.8,13,0.1608178707709106,0.89763984186031,0.8391821292290894
Varying berry: 1.8,14,0.16814230544790232,0.924022231550145,0.8318576945520977
Varying berry: 1.8,15,0.17576416923938498,0.9449480951713735,0.824235830760615
Varying berry: 1.8,16,0.1836919777711945,0.9611254806433386,0.8163080222288055
Varying berry: 1.8,17,0.1919341230248015,0.9732948481463368,0.8080658769751985
Varying berry: 1.8,18,0.200498825381899,0.9821867193389803,0.799501174618101
Varying berry: 1.8,19,0.2093940809728222,0.988485603839764,0.7906059190271778
Varying berry: 1.8,20,0.21862760411053805,0.9928028377981083,0.781372395889462
Varying berry: 2.5,1,0.12680442769051625,0.12680442769051625,0.8731955723094837
Varying berry: 2.5,2,0.1327044838640653,0.2477984876905026,0.8672955161359347
Varying berry: 2.5,3,0.13885664209049042,0.36140374322604785,0.8611433579095096
Varying berry: 2.5,4,0.14526944589973656,0.4662757741784973,0.8547305541002634
Varying berry: 2.5,5,0.151951499781526,0.5613648285106985,0.848048500218474
Varying berry: 2.5,6,0.15891144200830254,0.6459616160123544,0.8410885579916975
Varying berry: 2.5,7,0.1661579140348246,0.7197235045821364,0.8338420859651754
Varying berry: 2.5,8,0.17369952623070728,0.782677839394657,0.8263004737692927
Varying berry: 2.5,9,0.18154481969984548,0.8352011728064822,0.8184551803001545
Varying berry: 2.5,10,0.18970222394101377,0.8779756594066832,0.8102977760589862
Varying berry: 2.5,11,0.19818001010758124,0.9119264154598254,0.8018199898924188
Varying berry: 2.5,12,0.2069862396318276,0.9381458733736543,0.7930137603681724
Varying berry: 2.5,13,0.21612870799148454,0.9578126862869196,0.7838712920085155
Varying berry: 2.5,14,0.22561488341362046,0.9721132461372771,0.7743851165863795
Varying berry: 2.5,15,0.2354518403346465,0.9821732280447828,0.7645481596653535
Varying berry: 2.5,16,0.24564618746594202,0.9890048430268173,0.754353812534058
Varying berry: 2.5,17,0.2562039903533274,0.9934729738933201,0.7437960096466726
Varying berry: 2.5,18,0.26713068836633413,0.9962805591753815,0.7328693116336659
Varying berry: 2.5,19,0.2784310061109788,0.997971012369623,0.7215689938890212
Varying berry: 2.5,20,0.29010885932858343,0.998943583621931,0.7098911406714166
Varying throw: 1,1,0.08643171041271991,0.08643171041271991,0.9135682895872801
Varying throw: 1,2,0.09055159124626844,0.17290359181530557,0.9094484087537316
Varying throw: 1,3,0.09485747170297865,0.25843211712833447,0.9051425282970214
Varying throw: 1,4,0.09935670678366504,0.34202214482748616,0.900643293216335
Varying throw: 1,5,0.10405683575483793,0.42269901107904395,0.8959431642451621
Varying throw: 1,6,0.10896557493428716,0.49954284832059004,0.8910344250657128
Varying throw: 1,7,0.11409080878161093,0.5717232954251241,0.8859091912183891
Varying throw: 1,8,0.11944057912200912,0.6385324273193868,0.8805594208779909
Varying throw: 1,9,0.12502307232095822,0.6994135418414742,0.8749769276790418
Varying throw: 1,10,0.13084660421679373,0.7539834561920787,0.8691533957832063
Varying throw: 1,11,0.13691960260790736,0.8020462280680908,0.8630803973920926
Varying throw: 1,12,0.14325058708141514,0.8435967454024969,0.8567494129185849
Varying throw: 1,13,0.14984814596101848,0.8788134054353041,0.8501518540389815
Varying throw: 1,14,0.15672091014361578,0.9080400678179851,0.8432790898563842
Varying throw: 1,15,0.16387752358736318,0.9317585144216429,0.8361224764126368
Varying throw: 1,16,0.17132661020869266,0.9505536442294527,0.8286733897913073
Varying throw: 1,17,0.17907673694268567,0.9650744248685407,0.8209232630573143
Varying throw: 1,18,0.18713637272066175,0.9759940755089929,0.8128636272793383
Varying throw: 1,19,0.19551384312140363,0.9839729743152645,0.8044861568785964
Varying throw: 1,20,0.2042172804587017,0.989627341405774,0.7957827195412983
Varying throw: 1.15,1,0.09873569893488165,0.09873569893488165,0.9012643010651183
Varying throw: 1.15,2,0.10340816918882068,0.19612308892265762,0.8965918308111793
Varying throw: 1.15,3,0.10828819442723991,0.2909554075582719,0.8917118055727601
Varying throw: 1.15,4,0.11338363692295073,0.3820647518205893,0.8866163630770493
Varying throw: 1.15,5,0.11870251788981223,0.46836612395946453,0.8812974821101878
Varying throw: 1.15,6,0.12425300494602232,0.54890092682565,0.8757469950539777
Varying throw: 1.15,7,0.13004339736206671,0.622876913044013,0.8699566026379333
Varying throw: 1.15,8,0.13608210889140615,0.6897014514365152,0.8639178911085938
Varying throw: 1.15,9,0.14237764797206032,0.7490051429393499,0.8576223520279397
Varying throw: 1.15,10,0.14893859507799256,0.8006533416787234,0.8510614049220074
Varying throw: 1.15,11,0.15577357699089311,0.8447440157836281,0.8442264230091069
Varying throw: 1.15,12,0.16289123775589887,0.8815915614916559,0.8371087622441011
Varying throw: 1.15,13,0.1703002060793477,0.9116975468681934,0.8296997939206523
Varying throw: 1.15,14,0.1780090589232486,0.9357107382516889,0.8219909410767514
Varying throw: 1.15,15,0.1860262810502319,0.9543799514111937,0.8139737189497681
Varying throw: 1.15,16,0.19436022027484867,0.968504070278674,0.8056397797251513
Varying throw: 1.15,17,0.2030190381828163,0.9788838323444753,0.7969809618171837
Varying throw: 1.15,18,0.21201065608980796,0.986279618063046,0.787989343910192
Varying throw: 1.15,19,0.2213426960263949,0.9913785389028219,0.7786573039736051
Varying throw: 1.15,20,0.23102241655654854,0.9947727460878543,0.7689775834434515
Varying throw: 1.5,1,0.12680442769051625,0.12680442769051625,0.8731955723094837
Varying throw: 1.5,2,0.1327044838640653,0.2477984876905026,0.8672955161359347
Varying throw: 1.5,3,0.13885664209049042,0.36140374322604785,0.8611433579095096
Varying throw: 1.5,4,0.14526944589973656,0.4662757741784973,0.8547305541002634
Varying throw: 1.5,5,0.151951499781526,0.5613648285106985,0.848048500218474
Varying throw: 1.5,6,0.15891144200830254,0.6459616160123544,0.8410885579916975
Varying throw: 1.5,7,0.1661579140348246,0.7197235045821364,0.8338420859651754
Varying throw: 1.5,8,0.17369952623070728,0.782677839394657,0.8263004737692927
Varying throw: 1.5,9,0.18154481969984548,0.8352011728064822,0.8184551803001545
Varying throw: 1.5,10,0.18970222394101377,0.8779756594066832,0.8102977760589862
Varying throw: 1.5,11,0.19818001010758124,0.9119264154598254,0.8018199898924188
Varying throw: 1.5,12,0.2069862396318276,0.9381458733736543,0.7930137603681724
Varying throw: 1.5,13,0.21612870799148454,0.9578126862869196,0.7838712920085155
Varying throw: 1.5,14,0.22561488341362046,0.9721132461372771,0.7743851165863795
Varying throw: 1.5,15,0.2354518403346465,0.9821732280447828,0.7645481596653535
Varying throw: 1.5,16,0.24564618746594202,0.9890048430268173,0.754353812534058
Varying throw: 1.5,17,0.2562039903533274,0.9934729738933201,0.7437960096466726
Varying throw: 1.5,18,0.26713068836633413,0.9962805591753815,0.7328693116336659
Varying throw: 1.5,19,0.2784310061109788,0.997971012369623,0.7215689938890212
Varying throw: 1.5,20,0.29010885932858343,0.998943583621931,0.7098911406714166
Varying throw: 1.85,1,0.15399899163897235,0.15399899163897235,0.8460010083610277
Varying throw: 1.85,2,0.16104353568674257,0.29615205098699804,0.8389564643132574
Varying throw: 1.85,3,0.16837718393181378,0.4248525642634835,0.8316228160681862
Varying throw: 1.85,4,0.17600853025418906,0.5390106810251807,0.823991469745811
Varying throw: 1.85,5,0.18394608707972704,0.6380952713164221,0.816053912920273
Varying throw: 1.85,6,0.19219824175251699,0.7221382512392385,0.807801758247483
Varying throw: 1.85,7,0.20077320843540025,0.7916995363031498,0.7992267915645997
Varying throw: 1.85,8,0.20967897530723378,0.8477952226692037,0.7903210246927662
Varying throw: 1.85,9,0.21892324683914566,0.8917959763701598,0.7810767531608543
Varying throw: 1.85,10,0.22851338095127316,0.9253062989737382,0.7714866190487268
Varying throw: 1.85,11,0.2384563208771504,0.9500376340860085,0.7615436791228496
Varying throw: 1.85,12,0.2487585215959187,0.9676886797182246,0.7512414784040813
Varying throw: 1.85,13,0.25942587073384016,0.9798446206735701,0.7405741292661598
Varying throw: 1.85,14,0.2704636038872018,0.9879035624324848,0.7295363961127982
Varying throw: 1.85,15,0.28187621437965427,0.9930339004851193,0.7181237856203457
Varying throw: 1.85,16,0.2936673575393667,0.9961616158679999,0.7063326424606333
Varying throw: 1.85,17,0.3058397496661698,0.9979824904550739,0.6941602503338302
Varying throw: 1.85,18,0.31839506195706013,0.9989917015348838,0.6816049380429399
Varying throw: 1.85,19,0.3313338097710009,0.9995224949973306,0.6686661902289991
Varying throw: 1.85,20,0.34465523774162954,0.9997865006019204,0.6553447622583705
Varying medal: 1,1,0.10684615800526209,0.10684615800526209,0.8931538419947379
Varying medal: 1,2,0.11187808997352611,0.21123947293092782,0.8881219100264739
Varying medal: 1,3,0.11713111041083779,0.31184124350145026,0.8828688895891622
Varying medal: 1,4,0.1226133457491595,0.40739665765400657,0.8773866542508405
Varying medal: 1,5,0.12833305860603872,0.49678581272356126,0.8716669413939613
Varying medal: 1,6,0.13429863134018227,0.5790712159573328,0.8657013686598177
Varying medal: 1,7,0.1405185470405641,0.653538034082588,0.8594814529594359
Varying medal: 1,8,0.14700136773058203,0.7197235045821366,0.852998632269418
Varying medal: 1,9,0.1537557095601617,0.7774324916462907,0.8462442904398383
Varying medal: 1,10,0.1607902147512531,0.8267371749820278,0.8392097852487469
Varying medal: 1,11,0.1681135200562084,0.8679602398241673,0.8318864799437916
Varying medal: 1,12,0.17573422148448326,0.9016425563841428,0.8242657785155167
Varying medal: 1,13,0.18366083505140385,0.9284979938552721,0.8163391649485962
Varying medal: 1,14,0.19190175330391157,0.9493594629373607,0.8080982466960884
Varying medal: 1,15,0.20046519738280344,0.9651212758075841,0.7995348026171966
Varying medal: 1,16,0.20935916438967428,0.9766832583011905,0.7906408356103257
Varying medal: 1,17,0.21859136984023775,0.9849016510613299,0.7814086301597623
Varying medal: 1,18,0.22816918500473604,0.9905507346537119,0.771830814995264
Varying medal: 1,19,0.23809956896157747,0.9942974885474852,0.7619004310384225
Varying medal: 1,20,0.248388995223078,0.9966897362003825,0.751611004776922
Varying medal: 1.1,1,0.11688167258231508,0.11688167258231508,0.8831183274176849
Varying medal: 1.1,2,0.12235306053741479,0.22973584965195726,0.8776469394625852
Varying medal: 1.1,3,0.1280615387685602,0.3370855213783672,0.8719384612314398
Varying medal: 1.1,4,0.1340154844640713,0.4376062232626945,0.8659845155359287
Varying medal: 1.1,5,0.14022337648714056,0.5301836089153018,0.8597766235128594
Varying medal: 1.1,6,0.1466937737145445,0.6139625063852598,0.8533062262854555
Varying medal: 1.1,7,0.15343529037404602,0.6883830145789297,0.846564709625954
Varying medal: 1.1,8,0.1604565681462461,0.7531998915091332,0.8395434318537539
